Tanggal;Tavg
01-01-2020;26,7
02-01-2020;26,3
03-01-2020;26,5
04-01-2020;26,3
05-01-2020;27,5
06-01-2020;27,2
07-01-2020;27,4
08-01-2020;26,9
09-01-2020;26,4
10-01-2020;26,6
11-01-2020;27
12-01-2020;27,2
13-01-2020;27,2
14-01-2020;27,1
15-01-2020;27,6
16-01-2020;27
17-01-2020;26,9
18-01-2020;27,4
19-01-2020;27,7
20-01-2020;27,9
21-01-2020;25,9
22-01-2020;27,8
23-01-2020;28,3
24-01-2020;27,1
25-01-2020;27,4
26-01-2020;27,9
27-01-2020;27,4
28-01-2020;26,8
29-01-2020;25
30-01-2020;26,8
31-01-2020;26,2
01-02-2020;27,1
02-02-2020;27,2
03-02-2020;26,8
04-02-2020;27,1
05-02-2020;27,2
06-02-2020;27,2
07-02-2020;27,5
08-02-2020;26,6
09-02-2020;27,5
10-02-2020;28,2
11-02-2020;26,5
12-02-2020;27,3
13-02-2020;27,6
14-02-2020;27,7
15-02-2020;28
16-02-2020;27,6
17-02-2020;26,3
18-02-2020;26,7
19-02-2020;26,2
20-02-2020;27,6
21-02-2020;24,5
22-02-2020;27
23-02-2020;26,6
24-02-2020;27,5
25-02-2020;27,2
26-02-2020;27,9
27-02-2020;27,4
28-02-2020;27,6
29-02-2020;28,1
01-03-2020;27,8
02-03-2020;27,9
03-03-2020;27,4
04-03-2020;28,2
05-03-2020;26,4
06-03-2020;27,1
07-03-2020;26,7
08-03-2020;28,3
09-03-2020;28,2
10-03-2020;29,1
11-03-2020;28
12-03-2020;28,6
13-03-2020;29,1
14-03-2020;29,4
15-03-2020;27,6
16-03-2020;26,5
17-03-2020;27,2
18-03-2020;28
19-03-2020;27,8
20-03-2020;26,8
21-03-2020;26,8
22-03-2020;27,4
23-03-2020;26,3
24-03-2020;27,5
25-03-2020;27
26-03-2020;27,2
27-03-2020;28,6
28-03-2020;27,6
29-03-2020;27,9
30-03-2020;28,8
31-03-2020;27,7
01-04-2020;28,7
02-04-2020;27,8
03-04-2020;25,6
04-04-2020;27,3
05-04-2020;28,5
06-04-2020;26,3
07-04-2020;27,1
08-04-2020;28,2
09-04-2020;27,7
10-04-2020;28,9
11-04-2020;25,6
12-04-2020;27,9
13-04-2020;28,5
14-04-2020;25,7
15-04-2020;28,6
16-04-2020;27,8
17-04-2020;28,1
18-04-2020;27,8
19-04-2020;28,1
20-04-2020;28,6
21-04-2020;29,3
22-04-2020;28,1
23-04-2020;27,4
24-04-2020;28,1
25-04-2020;27,2
26-04-2020;27,6
27-04-2020;26,9
28-04-2020;27,2
29-04-2020;26,9
30-04-2020;26,7
01-05-2020;26,7
02-05-2020;28
03-05-2020;27
04-05-2020;28,4
05-05-2020;28,4
06-05-2020;26,8
07-05-2020;29
08-05-2020;27,1
09-05-2020;28,2
10-05-2020;28,7
11-05-2020;28
12-05-2020;29,2
13-05-2020;26,9
14-05-2020;28,6
15-05-2020;28,4
16-05-2020;28,3
17-05-2020;28,9
18-05-2020;27,9
19-05-2020;29
20-05-2020;25,7
21-05-2020;28,5
22-05-2020;26,6
23-05-2020;26,7
24-05-2020;27,8
25-05-2020;27,1
26-05-2020;26,4
27-05-2020;26,7
28-05-2020;28,9
29-05-2020;27,1
30-05-2020;27,2
31-05-2020;28,2
01-06-2020;26,7
02-06-2020;28,1
03-06-2020;28,6
04-06-2020;25,8
05-06-2020;26,9
06-06-2020;27,6
07-06-2020;27,6
08-06-2020;28,6
09-06-2020;28,6
10-06-2020;28
11-06-2020;28,6
12-06-2020;28,7
13-06-2020;24,2
14-06-2020;27,3
15-06-2020;28
16-06-2020;27,6
17-06-2020;27,5
18-06-2020;27,2
19-06-2020;27,1
20-06-2020;27,5
21-06-2020;27,4
22-06-2020;27,2
23-06-2020;26,2
24-06-2020;25,6
25-06-2020;27,9
26-06-2020;27,6
27-06-2020;27,5
28-06-2020;27,9
29-06-2020;28
30-06-2020;28,5
01-07-2020;27,4
02-07-2020;28,4
03-07-2020;27,7
04-07-2020;27,7
05-07-2020;27,5
06-07-2020;27,3
07-07-2020;24,8
08-07-2020;25,4
09-07-2020;25,9
10-07-2020;26,6
11-07-2020;27,1
12-07-2020;27,8
13-07-2020;24,8
14-07-2020;25,2
15-07-2020;26,8
16-07-2020;27,8
17-07-2020;27,7
18-07-2020;26,7
19-07-2020;27,7
20-07-2020;27,1
21-07-2020;27,8
22-07-2020;26,2
23-07-2020;25,8
24-07-2020;24,5
25-07-2020;26,6
26-07-2020;27,1
27-07-2020;27,1
28-07-2020;27,6
29-07-2020;26,6
30-07-2020;28,2
31-07-2020;26,9
01-08-2020;26,8
02-08-2020;27,6
03-08-2020;28,1
04-08-2020;25,4
05-08-2020;26,5
06-08-2020;28,5
07-08-2020;28,9
08-08-2020;28,8
09-08-2020;29
10-08-2020;27,7
11-08-2020;28
12-08-2020;29
13-08-2020;26
14-08-2020;27,7
15-08-2020;26,8
16-08-2020;26,9
17-08-2020;27,2
18-08-2020;26,7
19-08-2020;27,7
20-08-2020;27,6
21-08-2020;28,1
22-08-2020;27,9
23-08-2020;26,2
24-08-2020;26,7
25-08-2020;27
26-08-2020;25,5
27-08-2020;26,4
28-08-2020;26,8
29-08-2020;27,6
30-08-2020;27,1
31-08-2020;28,4
01-09-2020;28,5
02-09-2020;26,9
03-09-2020;26
04-09-2020;26,8
05-09-2020;26,3
06-09-2020;26,9
07-09-2020;26,4
08-09-2020;27,2
09-09-2020;27,7
10-09-2020;25,6
11-09-2020;26,1
12-09-2020;26,7
13-09-2020;27,1
14-09-2020;25,7
15-09-2020;27,3
16-09-2020;26,5
17-09-2020;27,4
18-09-2020;28,9
19-09-2020;27,6
20-09-2020;27,8
21-09-2020;27,1
22-09-2020;26,6
23-09-2020;25,3
24-09-2020;28,1
25-09-2020;25,8
26-09-2020;27,6
27-09-2020;26,9
28-09-2020;27,6
29-09-2020;25,9
30-09-2020;26,1
01-10-2020;26
02-10-2020;26,9
03-10-2020;27
04-10-2020;27,8
05-10-2020;27,4
06-10-2020;27,3
07-10-2020;26,7
08-10-2020;27,3
09-10-2020;27,2
10-10-2020;28,1
11-10-2020;26,7
12-10-2020;26,7
13-10-2020;27,9
14-10-2020;28,3
15-10-2020;26
16-10-2020;27,3
17-10-2020;27,5
18-10-2020;28,3
19-10-2020;27,1
20-10-2020;28,1
21-10-2020;27,5
22-10-2020;26,2
23-10-2020;26,8
24-10-2020;26
25-10-2020;27,7
26-10-2020;27,2
27-10-2020;27,5
